acaudifer	maker-AnoCau_scaffold_22472-exonerate_protein2genome-gene-0.0-mRNA-1	C-type	
acaudifer	maker-AnoCau_scaffold_8015-exonerate_protein2genome-gene-0.0-mRNA-1	ubq_7	Ubiquitin
acaudifer	maker-AnoCau_scaffold_4179-exonerate_protein2genome-gene-0.0-mRNA-1	VITAMIN	COAGULATION
acaudifer	maker-AnoCau_scaffold_1346-exonerate_protein2genome-gene-2.1-mRNA-1	Trypsin-like	Trypsin
acaudifer	maker-AnoCau_scaffold_20788-exonerate_protein2genome-gene-0.0-mRNA-1	-	LYSOZYME
acaudifer	maker-AnoCau_scaffold_14898-exonerate_protein2genome-gene-0.0-mRNA-1	GLYCERALDEHYDE-3-PHOSPHATE	GLYCERALDEHYDE
acaudifer	maker-AnoCau_scaffold_33222-exonerate_protein2genome-gene-0.4-mRNA-1	Defensin	ALPHA-DEFENSIN
acaudifer	maker-AnoCau_scaffold_34674-exonerate_protein2genome-gene-0.0-mRNA-1	Thymosin	THY_2
acaudifer	maker-AnoCau_scaffold_33222-exonerate_protein2genome-gene-0.0-mRNA-1	ALPHA-DEFENSIN	ALPHA-DEFENSIN
acaudifer	maker-AnoCau_scaffold_6273-exonerate_protein2genome-gene-0.0-mRNA-1	-	Small
acaudifer	maker-AnoCau_scaffold_1346-exonerate_protein2genome-gene-2.0-mRNA-1	MANNAN-BINDING	Trypsin
acaudifer	maker-AnoCau_scaffold_9848-exonerate_protein2genome-gene-0.0-mRNA-1	THYMOSIN	THYMOSIN
acaudifer	maker-AnoCau_scaffold_8745-exonerate_protein2genome-gene-0.0-mRNA-1	SMALL	Small
acaudifer	maker-AnoCau_scaffold_19373-exonerate_protein2genome-gene-0.1-mRNA-1	Trypsin	Serine
acaudifer	maker-AnoCau_scaffold_14445-exonerate_protein2genome-gene-0.0-mRNA-1	Ubiquitin	-
acaudifer	maker-AnoCau_scaffold_9686-exonerate_protein2genome-gene-0.2-mRNA-1	wap2	Elafin-like
acaudifer	maker-AnoCau_scaffold_734-exonerate_protein2genome-gene-3.0-mRNA-1	Small	-
acaudifer	maker-AnoCau_scaffold_22472-exonerate_protein2genome-gene-0.0-mRNA-1	Glycosyl	Lysozyme-like
acaudifer	maker-AnoCau_scaffold_5701-exonerate_protein2genome-gene-1.0-mRNA-1	UBIQUITIN	-
acaudifer	maker-AnoCau_scaffold_25318-exonerate_protein2genome-gene-0.0-mRNA-1	COAGULATION	Trypsin
acaudifer	maker-AnoCau_scaffold_25774-exonerate_protein2genome-gene-0.0-mRNA-1	BETA-DEFENSIN	Defensin-like
acaudifer	maker-AnoCau_scaffold_1756-exonerate_protein2genome-gene-2.0-mRNA-1	Core	Histone-fold
acaudifer	maker-AnoCau_scaffold_4309-exonerate_protein2genome-gene-0.0-mRNA-1	-	MANNOSE
acaudifer	maker-AnoCau_scaffold_1706-exonerate_protein2genome-gene-2.0-mRNA-1	THYMOSIN	THY_2
acaudifer	maker-AnoCau_scaffold_20493-exonerate_protein2genome-gene-0.0-mRNA-1	ubq_7	UBIQUITIN-60S
acaudifer	maker-AnoCau_scaffold_1224-exonerate_protein2genome-gene-2.0-mRNA-1	Histone	Core
acaudifer	maker-AnoCau_scaffold_31269-exonerate_protein2genome-gene-0.1-mRNA-1	Alpha_defensin	Alpha_defensin
acaudifer	maker-AnoCau_scaffold_24988-exonerate_protein2genome-gene-0.0-mRNA-1	Core	C-terminus
acaudifer	maker-AnoCau_scaffold_125-exonerate_protein2genome-gene-5.0-mRNA-1	Histone	Core
acaudifer	maker-AnoCau_scaffold_17899-exonerate_protein2genome-gene-0.10-mRNA-1	Beta	
acaudifer	maker-AnoCau_scaffold_6019-exonerate_protein2genome-gene-0.0-mRNA-1	SMALL	Small
acaudifer	maker-AnoCau_scaffold_880-exonerate_protein2genome-gene-1.0-mRNA-1	GH17761P	Ubiquitin-like
acaudifer	maker-AnoCau_scaffold_1356-exonerate_protein2genome-gene-3.0-mRNA-1	-	Histone
acaudifer	maker-AnoCau_scaffold_16762-exonerate_protein2genome-gene-0.0-mRNA-1	-	4-helical
acaudifer	maker-AnoCau_scaffold_18073-exonerate_protein2genome-gene-0.1-mRNA-1	Histone	Histone
acaudifer	maker-AnoCau_scaffold_4923-exonerate_protein2genome-gene-0.0-mRNA-1	-	PROTHROMBIN
acaudifer	maker-AnoCau_scaffold_25774-exonerate_protein2genome-gene-0.1-mRNA-1	Defensin	Alpha_defensin
acaudifer	maker-AnoCau_scaffold_10369-exonerate_protein2genome-gene-0.0-mRNA-1	Pancreatic	Pancreatic
acaudifer	maker-AnoCau_scaffold_17899-exonerate_protein2genome-gene-0.12-mRNA-1	BETA-DEFENSIN	-
acaudifer	maker-AnoCau_scaffold_261-exonerate_protein2genome-gene-2.0-mRNA-1	-	
acaudifer	maker-AnoCau_scaffold_18073-exonerate_protein2genome-gene-0.0-mRNA-1	Histone	Core
acaudifer	maker-AnoCau_scaffold_7923-exonerate_protein2genome-gene-0.0-mRNA-1	UBIQUITIN-60S	UBIQUITIN
acaudifer	maker-AnoCau_scaffold_2122-exonerate_protein2genome-gene-2.0-mRNA-1	HISTONE	Histone-fold
acaudifer	maker-AnoCau_scaffold_3458-exonerate_protein2genome-gene-0.0-mRNA-1	Ribosomal	Ubiquitin
